RxnIndex,RxnID,Enzymes
Rxn3421,PLDAGAT18111Z1819Z1601,H6V961
Rxn3422,PLDAGAT18111Z1819Z1602,H6V961
Rxn3423,PLDAGAT18111Z1819Z18111Z1,H6V961
Rxn3424,PLDAGAT18111Z1819Z18111Z2,H6V961
Rxn3425,PLDAGAT18111Z1819Z18111Z3,H6V961
Rxn3426,PLDAGAT18111Z1819Z1819Z1,H6V961
Rxn3427,PLDAGAT18111Z1819Z1819Z2,H6V961
Rxn3428,PLDAGAT18111Z1819Z1819Z3,H6V961
Rxn3429,PLDAGAT18111Z1819Z1819Z4,H6V961
Rxn3430,PLDAGAT1819Z18111Z1601,H6V961
Rxn3431,PLDAGAT1819Z18111Z1602,H6V961
Rxn3432,PLDAGAT1819Z18111Z18111Z1,H6V961
Rxn3433,PLDAGAT1819Z18111Z18111Z2,H6V961
Rxn3434,PLDAGAT1819Z18111Z18111Z3,H6V961
Rxn3435,PLDAGAT1819Z18111Z1819Z1,H6V961
Rxn3436,PLDAGAT1819Z18111Z1819Z2,H6V961
Rxn3437,PLDAGAT1819Z18111Z1819Z3,H6V961
Rxn3438,PLDAGAT1819Z18111Z1819Z4,H6V961
Rxn3439,PLDAGAT1819Z1819Z1601,H6V961
Rxn3440,PLDAGAT1819Z1819Z1602,H6V961
Rxn3441,PLDAGAT1819Z1819Z18111Z1,H6V961
Rxn3442,PLDAGAT1819Z1819Z18111Z2,H6V961
Rxn3443,PLDAGAT1819Z1819Z18111Z3,H6V961
Rxn3444,PLDAGAT1819Z1819Z1819Z1,H6V961
Rxn3445,PLDAGAT1819Z1819Z1819Z2,H6V961
Rxn3446,PLDAGAT1819Z1819Z1819Z3,H6V961
Rxn3447,PLDAGAT1819Z1819Z1819Z4,H6V961
Rxn3597,PTRCthr,A0A2K3E1N2
Rxn3725,SPMDtmr,A0A2K3E1N2
Rxn4500,TPH,A0A2K3CZW1;A0A2K3DBK2
Rxn4598,UMPP,A0A2K3CZW1;A0A2K3DBK2
Rxn4613,URANA1t,A0A2K3DWD3
Rxn4619,URCB,A0A2K3DGE0
Rxn4620,URCBm,A0A2K3DGE0
Rxn4622,URDGLYCAH,A0A2K3DNP5
Rxn4657,X5NT,A0A2K3CZW1;A0A2K3DBK2
Rxn5218,arm_PTOR,A0A2K3CZS4;A0A2K3CZT6;A0A2K3CZV4
