RxnIndex,RxnID
Rxn1284,CSx
Rxn1285,CTPH
Rxn1298,CYRH
Rxn1330,CYSTBL
Rxn1346,DAD2PT
Rxn1520,DBTS
Rxn1525,DCMP
Rxn1536,DCYTPT
Rxn1539,DGDGD4DS1819Z1634Z7Z10Z
Rxn1540,DGDGD4DS1829Z12Z1634Z7Z10Z
Rxn1541,DGDGD4DS1839Z12Z15Z1634Z7Z10Z
Rxn1542,DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z
Rxn1667,DGSNPT
Rxn1735,DHFR2i
Rxn1736,DHFRi
Rxn1742,DHPAH
Rxn1803,DOLDPP
Rxn1806,DOLPGT3
Rxn1807,DOLPMT1
Rxn1808,DOLPMT2
Rxn1817,DTNH
Rxn1818,DTPH
Rxn1855,D_LACti
Rxn1882,EAR40y
Rxn1891,ECH_3hibutcoa
Rxn1894,ECH_3hmbcoa
Rxn1922,ECOAR
Rxn1923,EGMEACPR
Rxn1930,EPMEACPR
Rxn1931,ETF
Rxn1933,ETHAK
Rxn1939,ETOHti
Rxn1944,F6PBth
Rxn1945,F6P_pi_thi
Rxn1951,FA160COAabcp
Rxn1971,FA40COAabcp
Rxn1975,FACOAE160
Rxn1976,FACOAE180
Rxn1977,FACOAE1819Z
Rxn1978,FACOAE1829Z12Z
Rxn1979,FACOAE1836Z9Z12Z
Rxn1980,FACOAE1839Z12Z15Z
Rxn2005,FBPPH
Rxn2010,FE2GTPabc
Rxn2011,FE2th
Rxn2012,FORthi
Rxn2013,FORti
Rxn2014,FORtmi
Rxn2037,FTHDF
Rxn2039,FTHFO
Rxn2046,G12MT3
Rxn2047,G12MT4
Rxn2075,G3PD3
Rxn2080,G6PADH
Rxn2107,GALK
Rxn2111,GALOR
Rxn2112,GALTLOR
Rxn2113,GALTLtm
Rxn2116,GALm
Rxn2119,GAM
Rxn2121,GAPDH_nadp
Rxn2137,GCLDH
Rxn2139,GCPN
Rxn2140,GDH
Rxn2141,GDH_nadp
Rxn2143,GDPA
Rxn2144,GDPGALP
Rxn2151,GDR
Rxn2152,GDR_nadp
Rxn2153,GDR_nadp_h
Rxn2154,GDRh
Rxn2162,GGGAP
Rxn2173,GLCUR1PUT
Rxn2174,GLCURK
Rxn2183,GLNtm
Rxn2184,GLU4ABUTthi
Rxn2185,GLU4ABUTtmi
Rxn2186,GLU5K
Rxn2193,GLUNA1th
Rxn2196,GLUS
Rxn2197,GLUS_ferr
Rxn2198,GLUS_nadph
Rxn2204,GLUTRS
Rxn2205,GLUth
Rxn2214,GLYC3Pth
Rxn2215,GLYCK
Rxn2251,GMP5N
Rxn2302,GTPA
Rxn2303,GTPDH
Rxn2361,H2Oth
Rxn2374,H2ti
Rxn2429,HAL
Rxn2476,HCO3_h_thi
Rxn2477,HCO3_h_tmi
Rxn2485,HDH
Rxn2499,HIBH
Rxn2500,HIDP
